ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
469	CCSS.MATH.CONTENT.HSA.SSE.B.3.C	substandard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Use the properties of exponents to transform expressions for exponential functions. For example the expression 1.15t can be rewritten as (1.151/12)12t ≈ 1.01212t to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.
470	CCSS.MATH.CONTENT.HSA.SSE.B.4	standard	High School: Algebra: Seeing Structure in Expressions	math-content-standards	Seeing Structure in Expressions	9-12	Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems.
471	CCSS.MATH.CONTENT.HSA.APR.A	cluster	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Perform arithmetic operations on polynomials.
472	CCSS.MATH.CONTENT.HSA.APR.A.1	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials.
473	CCSS.MATH.CONTENT.HSA.APR.B	cluster	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Understand the relationship between zeros and factors of polynomials.
474	CCSS.MATH.CONTENT.HSA.APR.B.2	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x - a is p(a), so p(a) = 0 if and only if (x - a) is a factor of p(x).
475	CCSS.MATH.CONTENT.HSA.APR.B.3	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial.
476	CCSS.MATH.CONTENT.HSA.APR.C	cluster	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Use polynomial identities to solve problems.
477	CCSS.MATH.CONTENT.HSA.APR.C.4	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Prove polynomial identities and use them to describe numerical relationships.
478	CCSS.MATH.CONTENT.HSA.APR.C.5	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	(+) Know and apply the Binomial Theorem for the expansion of (x + y)n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal's Triangle.
479	CCSS.MATH.CONTENT.HSA.APR.D	cluster	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Rewrite rational expressions.
480	CCSS.MATH.CONTENT.HSA.APR.D.6	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system.
481	CCSS.MATH.CONTENT.HSA.APR.D.7	standard	High School: Algebra: Arithmetic with Polynomials and Rational Expressions	math-content-standards	Arithmetic with Polynomials and Rational Expressions	9-12	(+) Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions.
482	CCSS.MATH.CONTENT.HSA.CED.A	cluster	High School: Algebra: Creating Equations	math-content-standards	Creating Equations	9-12	Create equations that describe numbers or relationships.
483	CCSS.MATH.CONTENT.HSA.CED.A.1	standard	High School: Algebra: Creating Equations	math-content-standards	Creating Equations	9-12	Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.
484	CCSS.MATH.CONTENT.HSA.CED.A.2	standard	High School: Algebra: Creating Equations	math-content-standards	Creating Equations	9-12	Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
485	CCSS.MATH.CONTENT.HSA.CED.A.3	standard	High School: Algebra: Creating Equations	math-content-standards	Creating Equations	9-12	Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or nonviable options in a modeling context.
486	CCSS.MATH.CONTENT.HSA.CED.A.4	standard	High School: Algebra: Creating Equations	math-content-standards	Creating Equations	9-12	Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations.
487	CCSS.MATH.CONTENT.HSA.REI.A	cluster	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Understand solving equations as a process of reasoning and explain the reasoning.
488	CCSS.MATH.CONTENT.HSA.REI.A.1	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.
489	CCSS.MATH.CONTENT.HSA.REI.A.2	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise.
490	CCSS.MATH.CONTENT.HSA.REI.B	cluster	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve equations and inequalities in one variable.
491	CCSS.MATH.CONTENT.HSA.REI.B.3	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.
492	CCSS.MATH.CONTENT.HSA.REI.B.4	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve quadratic equations in one variable.
493	CCSS.MATH.CONTENT.HSA.REI.B.4.A	substandard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)² = q that has the same solutions. Derive the quadratic formula from this form.
494	CCSS.MATH.CONTENT.HSA.REI.B.4.B	substandard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve quadratic equations by inspection (e.g., for x² = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.
495	CCSS.MATH.CONTENT.HSA.REI.C	cluster	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve systems of equations.
496	CCSS.MATH.CONTENT.HSA.REI.C.5	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.
497	CCSS.MATH.CONTENT.HSA.REI.C.6	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.
498	CCSS.MATH.CONTENT.HSA.REI.C.7	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.
499	CCSS.MATH.CONTENT.HSA.REI.C.8	standard	High School: Algebra: Reasoning with Equations and Inequalities	math-content-standards	Reasoning with Equations and Inequalities	9-12	(+) Represent a system of linear equations as a single matrix equation in a vector variable.
